Date,stocks,bonds,cash,gold
1985-09-01,182.0800018310547,10.3100004196167,7.039999961853027,325.8
1985-10-01,189.82000732421875,10.010000228881836,7.190000057220459,325.1
1985-11-01,202.1699981689453,9.59000015258789,7.159999847412109,325.3
1985-12-01,211.27999877929688,9.0,7.050000190734863,326.8
1986-01-01,211.77999877929688,9.079999923706056,6.96999979019165,350.5
1986-02-01,226.9199981689453,8.130000114440918,7.019999980926514,338.2
1986-03-01,238.8999938964844,7.389999866485596,6.340000152587891,344.0
1986-04-01,235.5200042724609,7.380000114440918,6.099999904632568,345.8
1986-05-01,247.3500061035156,8.050000190734863,6.300000190734863,343.2
1986-06-01,250.83999633789065,7.349999904632568,5.960000038146973,346.8
1986-07-01,236.1199951171875,7.340000152587891,5.789999961853027,357.5
1986-08-01,252.92999267578125,6.949999809265137,5.170000076293945,384.7
1986-09-01,231.32000732421875,7.449999809265137,5.199999809265137,423.2
1986-10-01,243.97999572753903,7.340000152587891,5.199999809265137,401.0
1986-11-01,249.22000122070312,7.150000095367432,5.389999866485596,389.5
1986-12-01,242.1699981689453,7.230000019073486,5.670000076293945,388.8
1987-01-01,274.0799865722656,7.179999828338623,5.599999904632568,400.5
1987-02-01,284.20001220703125,7.190000057220459,5.449999809265137,405.9
1987-03-01,291.70001220703125,7.510000228881836,5.610000133514404,421.0
1987-04-01,288.3599853515625,8.210000038146973,5.53000020980835,453.3
1987-05-01,290.1000061035156,8.489999771118164,5.679999828338623,451.0
1987-06-01,304.0,8.380000114440918,5.730000019073486,447.3
1987-07-01,318.6600036621094,8.65999984741211,6.070000171661377,462.5
1987-08-01,329.79998779296875,9.0,6.25,453.4
1987-09-01,321.8299865722656,9.630000114440918,6.610000133514404,459.5
1987-10-01,251.7899932861328,8.880000114440918,5.269999980926514,468.8
1987-11-01,230.3000030517578,8.989999771118164,5.210000038146973,492.5
1987-12-01,247.0800018310547,8.829999923706055,5.679999828338623,484.1
1988-01-01,257.07000732421875,8.260000228881836,5.639999866485596,458.0
1988-02-01,267.82000732421875,8.15999984741211,5.619999885559082,426.2
1988-03-01,258.8900146484375,8.569999694824219,5.710000038146973,457.0
1988-04-01,261.3299865722656,8.869999885559082,5.980000019073486,449.0
1988-05-01,262.1600036621094,9.199999809265137,6.429999828338623,455.5
1988-06-01,273.5,8.819999694824219,6.559999942779541,436.6
1988-07-01,272.0199890136719,9.119999885559082,6.949999809265137,436.8
1988-08-01,261.5199890136719,9.25,7.300000190734863,427.8
